rule_id,jurisdiction,law_title,section,actor,behavior,target,applicability_notes,override_notes,risk_level,reliability_score,source_excerpt
1,New York,Consumer Data Privacy Act,§ 4.1(a),data controller,must obtain consent before collecting,personal data of consumers,applies to entities with annual revenue > $25M,does not apply to anonymized or aggregated data,high,0.92,No data controller shall collect personal data without prior informed consent of the consumer.
2,New York,Consumer Data Privacy Act,§ 4.1(b),data controller,must provide notice of data practices,consumers,,does not apply where notice is impracticable,medium,0.88,A data controller shall provide clear and conspicuous notice of its data collection practices.
3,New York,Consumer Data Privacy Act,§ 4.3,data controller,must delete personal data upon request,personal data of consumers,applies when consumer submits verified request,does not apply to data required for legal compliance,high,0.91,"Upon verified request, a data controller shall delete all personal data associated with the requesting consumer."
4,New York,Consumer Data Privacy Act,§ 5.2,data processor,must implement reasonable security measures,personal data,applies to all data processors handling NY consumer data,,medium,0.85,"Every data processor shall maintain reasonable administrative, technical, and physical safeguards."
5,New York,Consumer Data Privacy Act,§ 7.1,data controller,must conduct risk assessment,high-risk processing activities,applies annually or when processing changes significantly,,medium,0.79,Data controllers engaged in high-risk processing shall conduct and document a data protection assessment.
6,California,California Privacy Rights Act,§ 1798.100(a),business,shall not collect additional categories of personal information,consumers' personal information,applies to businesses as defined in § 1798.140(d),exempt if consumer provides explicit consent,high,0.94,A business shall not collect additional categories of personal information without providing notice.
7,California,California Privacy Rights Act,§ 1798.100(d),business,must disclose categories of personal information collected,consumers,applies at or before point of collection,,medium,0.9,"A business shall, at or before the point of collection, inform consumers of the categories of personal information to be collected."
8,California,California Privacy Rights Act,§ 1798.105(a),business,shall delete personal information upon request,consumer's personal information,applies upon verifiable consumer request,does not apply to 9 enumerated exceptions in § 1798.105(d),high,0.93,A business shall delete any personal information about the consumer which the business has collected from the consumer.
9,California,California Privacy Rights Act,§ 1798.150,business,is liable for data breaches involving nonencrypted data,consumer's nonencrypted personal information,applies when breach results from failure to maintain reasonable security,,high,0.87,Any consumer whose nonencrypted or nonredacted personal information is subject to unauthorized access may institute a civil action.
10,Texas,Texas Data Privacy and Security Act,§ 541.101,controller,shall limit collection of personal data,personal data,"applies to data that is adequate, relevant, and necessary",,medium,0.72,"A controller shall limit the collection of personal data to what is adequate, relevant, and reasonably necessary."
11,Texas,Texas Data Privacy and Security Act,§ 541.102,controller,must provide privacy notice,consumers,applies to all controllers subject to this chapter,,low,0.81,"A controller shall provide consumers with a reasonably accessible, clear, and meaningful privacy notice."
12,Texas,Texas Data Privacy and Security Act,§ 541.104,controller,must obtain consent for processing sensitive data,sensitive personal data,,exempt for data processed prior to effective date,high,0.68,A controller shall not process sensitive data without obtaining the consumer's consent.
13,Texas,Texas Data Privacy and Security Act,§ 541.107,controller,shall conduct data protection assessment,processing activities that present heightened risk,"applies to targeted advertising, sale of data, and sensitive data processing",,medium,0.64,A controller shall conduct and document a data protection assessment for each processing activity that presents a heightened risk of harm.
14,Illinois,Biometric Information Privacy Act,§ 15(a),private entity,must develop written policy for retention and destruction,biometric identifiers and biometric information,applies to all private entities in possession of biometric data,,high,0.89,A private entity in possession of biometric identifiers or biometric information must develop a written policy.
15,Illinois,Biometric Information Privacy Act,§ 15(b),private entity,must inform subject and obtain written release before collection,biometric identifiers or biometric information,applies prior to collection,does not apply to financial institutions subject to GLBA,high,0.91,"No private entity may collect, capture, purchase, receive through trade, or otherwise obtain biometric identifiers without informed written consent."
16,Illinois,Biometric Information Privacy Act,§ 15(d),private entity,shall not sell or otherwise profit from biometric data,biometric identifiers or biometric information,,,,0.86,"No private entity in possession of biometric identifiers may sell, lease, trade, or otherwise profit from the data."
17,Illinois,Biometric Information Privacy Act,§ 15(e),private entity,shall store and transmit data using reasonable standard of care,biometric identifiers and biometric information,applies in a manner that is the same as or more protective than other confidential information,,medium,0.77,"A private entity shall store, transmit, and protect from disclosure all biometric identifiers and information using the reasonable standard of care."
18,EU,General Data Protection Regulation,Art. 6(1),controller,must ensure lawful basis for processing,personal data,applies to all processing of personal data,derogations permitted under Art. 23,high,0.95,Processing shall be lawful only if and to the extent that at least one of the following applies.
19,EU,General Data Protection Regulation,Art. 17(1),data subject / controller,has right to erasure of personal data,personal data,applies where one of the grounds in Art. 17(1)(a)-(f) applies,does not apply where processing is necessary per Art. 17(3),high,0.9,The data subject shall have the right to obtain from the controller the erasure of personal data without undue delay.
20,EU,General Data Protection Regulation,Art. 25,controller,must implement data protection by design and by default,personal data processing systems,applies at the time of determination of means and at time of processing,,medium,0.82,The controller shall implement appropriate technical and organisational measures for implementing data-protection principles.
21,EU,General Data Protection Regulation,Art. 35,controller,must carry out data protection impact assessment,processing likely to result in high risk to rights and freedoms,"applies where processing uses new technologies, profiling, or large-scale sensitive data",not required where processing is on legal basis per Art. 6(1)(c) or (e) with existing impact assessment,medium,0.88,"Where a type of processing is likely to result in a high risk, the controller shall carry out an assessment of the impact."
22,EU,General Data Protection Regulation,Art. 33(1),controller,must notify supervisory authority of data breach,personal data breach,applies without undue delay and within 72 hours,not required if breach is unlikely to result in risk to rights and freedoms,high,0.91,"In the case of a personal data breach, the controller shall notify the supervisory authority within 72 hours."
